"GeneSymbol"	"TP_BRCA_MEAN"	"TP_BRCA_STD"	"TP_GBM_MEAN"	"TP_GBM_STD"	"TP_OV_MEAN"	"TP_OV_STD"	"TP_LUAD_MEAN"	"TP_LUAD_STD"	"TP_UCEC_MEAN"	"TP_UCEC_STD"	"TP_KIRC_MEAN"	"TP_KIRC_STD"	"TP_HNSC_MEAN"	"TP_HNSC_STD"	"TP_LGG_MEAN"	"TP_LGG_STD"	"TP_THCA_MEAN"	"TP_THCA_STD"	"TP_LUSC_MEAN"	"TP_LUSC_STD"	"TP_PRAD_MEAN"	"TP_PRAD_STD"	"TP_SKCM_MEAN"	"TP_SKCM_STD"	"TP_COAD_MEAN"	"TP_COAD_STD"	"TP_STAD_MEAN"	"TP_STAD_STD"	"TP_BLCA_MEAN"	"TP_BLCA_STD"	"TP_LIHC_MEAN"	"TP_LIHC_STD"	"TP_CESC_MEAN"	"TP_CESC_STD"	"TP_KIRP_MEAN"	"TP_KIRP_STD"	"TP_SARC_MEAN"	"TP_SARC_STD"	"TP_LAML_MEAN"	"TP_LAML_STD"	"TP_PAAD_MEAN"	"TP_PAAD_STD"	"TP_ESCA_MEAN"	"TP_ESCA_STD"	"TP_PCPG_MEAN"	"TP_PCPG_STD"	"TP_READ_MEAN"	"TP_READ_STD"	"TP_TGCT_MEAN"	"TP_TGCT_STD"	"TP_THYM_MEAN"	"TP_THYM_STD"	"TP_KICH_MEAN"	"TP_KICH_STD"	"TP_ACC_MEAN"	"TP_ACC_STD"	"TP_MESO_MEAN"	"TP_MESO_STD"	"TP_UVM_MEAN"	"TP_UVM_STD"	"TP_DLBC_MEAN"	"TP_DLBC_STD"	"TP_UCS_MEAN"	"TP_UCS_STD"	"TP_CHOL_MEAN"	"TP_CHOL_STD"
"H19"	"1.11952887659757"	"1.01293398806818"	"1.24944359193936"	"1.44921875224187"	"0.861603815171818"	"1.29640111022409"	"1.78738266156862"	"1.41213119450951"	"1.14889197303426"	"1.20055275646526"	"1.39946537237427"	"0.932318652409664"	"1.25426350424349"	"0.971895691647188"	"0.571845291265725"	"1.19528932131556"	"0.566203275208405"	"0.419463537979172"	"1.6678588236967"	"1.24396961244497"	"0.827806893052583"	"0.558979868061278"	"4.75323030434797"	"3.52009729698598"	"4.78587311950854"	"3.21662877703192"	"2.70408189900898"	"2.31529474848945"	"1.84639923637736"	"1.58828259052273"	"1.41990157645494"	"1.61223466782387"	"2.63763522324365"	"1.66220669564631"	"1.52173837609564"	"1.45003066870901"	"5.77218209220495"	"6.45439064238476"	"2.05348882853769"	"2.00507774227966"	"1.8118545929159"	"1.14639577252058"	"2.61431422763744"	"2.04112128177553"	"0.863308552163335"	"3.12291249433848"	"5.62671439044215"	"3.50699677025185"	"123.031318589744"	"239.038961201602"	"3.01982343841559"	"2.04804709770232"	"0.482767077515549"	"0.896430281965646"	"0.861927735079703"	"1.33254580509867"	"2.30217121942514"	"3.65823916676287"	"1.67947937251101"	"1.24231006424045"	"2.51571498317208"	"1.17186367012345"	"2.46122667207173"	"3.47749194357349"	"2.30803292748571"	"1.55074683640914"
"HULC"	"54.4410285500037"	"61.9849423228625"	"48.6032395337466"	"24.2552197234657"	"85.2924605150844"	"62.1054419809205"	"47.0559262767912"	"37.1478601777684"	"66.238654241569"	"40.1767790052454"	"35.4736954932111"	"20.6045299275733"	"40.9544743843912"	"34.7944950996366"	"58.7583103226853"	"28.8716819287826"	"43.2634822436238"	"20.0879065200849"	"50.9212292626158"	"31.9472191766441"	"45.2100690675785"	"31.4074325277589"	"74.1315181171886"	"56.4854408695262"	"58.5164924699782"	"34.6900648943542"	"56.7758593821139"	"41.6861502709055"	"51.8332462908566"	"30.5206264184801"	"41.5474106535543"	"53.3104641690471"	"58.0867644848893"	"38.329177312915"	"35.8661890889841"	"20.0139036051189"	"58.79518268742"	"43.1927040998005"	"65.1408475754517"	"36.2624527954211"	"44.1246053060802"	"20.1649230191339"	"50.445845899115"	"34.6741549031259"	"56.9267492338333"	"26.8251779899503"	"60.1970144344627"	"33.3264502757906"	"0.450601923076923"	"0.571348969965072"	"128.738251247708"	"65.7260301279961"	"34.7564478370135"	"23.5346371486361"	"46.2927671769987"	"23.8039349984412"	"55.1922117729628"	"26.0086068132373"	"177.959827502913"	"86.8412057210081"	"100.361449697927"	"53.303078176254"	"122.363484726791"	"71.0450738767006"	"42.2954826740387"	"30.2673283039277"
"EGOT"	"3.39382499340523"	"2.77102345247701"	"1.74347349067999"	"1.26053405072374"	"4.64826880804612"	"5.02541140697822"	"2.33135069706671"	"3.83327040525752"	"5.54765009801065"	"5.52667418734513"	"0.723740457654258"	"1.61353743869394"	"0.729622956276502"	"1.3052113320972"	"0.943896312631509"	"0.565100328019381"	"2.73554701521718"	"1.70096677462156"	"2.30378614434364"	"3.11270741515056"	"6.17763785987898"	"3.14675436908954"	"1.05053061554684"	"1.62139008667165"	"6.93996955309671"	"5.47756847405448"	"4.36831195902689"	"4.78467475529466"	"3.35906069299415"	"3.60240205914452"	"2.83866716781713"	"3.17293894308889"	"1.69675390924935"	"2.36060547043942"	"0.785012811674755"	"2.12350679279794"	"0.349900459030298"	"0.803809897891864"	"0.255813007260014"	"0.524883652702778"	"1.94233849964642"	"1.48049557007709"	"2.93228028831963"	"3.15509423349626"	"2.83861428725838"	"1.56070757667858"	"8.29368829628814"	"6.44375333625989"	"0.174594871794872"	"0.17966387749561"	"2.65226249953731"	"1.8252623163902"	"6.84710078350023"	"4.55614064886936"	"0.849846561032909"	"1.12891255928737"	"1.00605752264042"	"0.962596865752505"	"3.31797911886654"	"1.41344087311963"	"0.885229596460192"	"1.16043414747562"	"2.49432518353845"	"1.89349925183922"	"2.96678154056862"	"3.10658007848765"
"CDKN2B-AS1"	"0.145437995388602"	"0.416923851655114"	"0.209264797925587"	"0.220796451033132"	"0.107039801441311"	"0.0650200684236659"	"0.158128884048892"	"0.147303712648193"	"0.124953927818545"	"0.104448795059293"	"0.190730982040138"	"0.127301815292352"	"0.226753457288643"	"0.28034771779793"	"0.400550442093309"	"0.420789780108797"	"0.141459123069009"	"0.0646813939919275"	"0.136973879614396"	"0.177019266330885"	"0.526201750243858"	"0.558023130628239"	"0.212317168255035"	"0.712377968595935"	"0.284057596447143"	"0.264543263073512"	"0.286533707507004"	"0.193043375482529"	"0.140492030023366"	"0.127031948193345"	"0.0718504345481777"	"0.165927124079065"	"0.177140770776065"	"0.373799836937612"	"0.136613933791192"	"0.204706863218129"	"0.267399921337694"	"0.410559647655368"	"0.570703422319128"	"0.305474109895512"	"0.330446011167409"	"0.50860399883072"	"0.337097721387738"	"0.353655514890692"	"1.18121095284955"	"1.22150276727598"	"0.252530588049959"	"0.178644300503869"	"0.048074358974359"	"0.140884563989651"	"0.094573046408187"	"0.0825149794779065"	"0.12719757363154"	"0.0775627262532622"	"0.418893553517751"	"0.520343400163008"	"0.134448164342671"	"0.0996937753562653"	"0.105490157482389"	"0.108781762342991"	"0.0703880219522498"	"0.0481969019221123"	"0.085839856047075"	"0.108905874402705"	"0.205143270145915"	"0.698481857657816"
"BACE1-AS"	"1.39439476596301"	"2.41088318538215"	"0.874927316130917"	"5.57527020894671"	"1.08501516704124"	"2.29247730572502"	"0.845586040136935"	"1.43213976644636"	"1.03437326760974"	"2.44928676708769"	"0.558107451355207"	"0.555097462397524"	"0.539979699922395"	"3.78936702440693"	"0.10483985103933"	"1.08048847964331"	"0.292235733618157"	"0.20604625279099"	"0.589950951552682"	"1.19768453660842"	"0.433343685517391"	"0.313387050615499"	"0.485714439324035"	"2.38896112893438"	"0.599456354988608"	"1.66059222891136"	"0.758846102672328"	"0.698902989425507"	"0.716150674614449"	"1.76243063937402"	"0.184127789245453"	"0.283878039307064"	"0.600950072768734"	"1.52485540747633"	"0.135979200800162"	"0.177097478298593"	"8.82132645693655"	"19.2721420888232"	"0.263175678876283"	"0.465677871495934"	"1.30488538669407"	"0.981442950215266"	"0.582364619622962"	"0.592697942661802"	"0.326581707189276"	"0.27759775070962"	"0.38263604923849"	"0.32983730786827"	"5.79230384615385"	"4.7882613838547"	"0.150909230913287"	"0.245037828525382"	"0.428689111923174"	"0.91909860364719"	"0.237024770243379"	"0.739615115676154"	"1.26364087413475"	"1.67343094770548"	"0.0231422365320484"	"0.0309893092436951"	"0.377346542217223"	"0.318657670842771"	"10.6526795476966"	"11.8577394093558"	"0.389599181039091"	"0.295270662161103"
"HOTAIRM1"	"0.40297249501068"	"0.477441783460542"	"0.57342653479546"	"0.330381228414153"	"0.196299217324315"	"0.179503881446965"	"0.264939107969381"	"0.247465780933624"	"0.195977936747249"	"0.204028386288413"	"0.184587618732198"	"0.389828216870925"	"0.552693539625629"	"1.49543564245665"	"0.984291562710176"	"0.390009490981093"	"0.648513507417089"	"2.46317109063627"	"0.213427794844221"	"0.27626753419805"	"0.189665895195577"	"0.139387244285831"	"0.285430723422881"	"0.216954637531983"	"0.285438849978548"	"0.291729554802152"	"0.331922559518665"	"0.663218192927247"	"0.194259522833559"	"0.479642266528297"	"0.136532415571504"	"0.156512298204278"	"0.246866373655082"	"0.438605301334403"	"0.231602699327827"	"0.188813006240005"	"0.357538898546512"	"0.372761907686158"	"0.398437985809303"	"0.288840782288126"	"0.386972927265609"	"0.387231777838385"	"0.493446838987451"	"1.11673241207669"	"0.365995236675288"	"0.311215388700678"	"0.29681360527733"	"0.249496670319541"	"0.980011538461538"	"0.912849990924315"	"0.149040991153056"	"0.186757638997529"	"0.138227755466517"	"0.107056215196502"	"0.196603080287854"	"0.204926307180609"	"0.155454637215872"	"0.139604371220106"	"0.158047712210328"	"0.138373304767231"	"0.156740603039148"	"0.148971201612589"	"0.37380327579337"	"0.345879463122928"	"0.400766896633778"	"0.426301457846316"
"MIAT"	"0.222780840136183"	"0.707477929566625"	"0.168507545581003"	"0.1921519874862"	"0.19731440078351"	"0.218839857409545"	"0.269789047375051"	"0.756516624176204"	"0.212590684953257"	"0.548803709325143"	"0.229025699885135"	"0.459191326865088"	"0.0973361690634496"	"0.118659068251488"	"0.278817662719277"	"0.285074253816831"	"0.353282202275177"	"0.277676896198288"	"0.159684178725313"	"0.170554742708504"	"0.461232561377029"	"0.492937173087831"	"0.110537522435551"	"0.134694763450476"	"0.338840057946166"	"0.881830752140859"	"0.329085937923339"	"0.327945531090754"	"0.184536327929152"	"0.447587642013143"	"0.102753795736375"	"0.132504795992658"	"0.142038004939544"	"0.167795490276654"	"0.175942206656436"	"0.173506638185857"	"0.112113103667547"	"0.136056304561385"	"1.70997106909498"	"1.70623756215345"	"0.152774114703202"	"0.153043907253193"	"0.304936771375848"	"0.28667387626698"	"0.183391724630186"	"0.184474195771975"	"0.204059916858332"	"0.335344387657021"	"7.91569743589744"	"3.79575825051866"	"0.315527173739482"	"0.262476862585548"	"0.193424402137787"	"0.177027376185484"	"0.370110446561642"	"0.502811506975484"	"0.116796048901487"	"0.115640839380911"	"0.153096180198516"	"0.149556713223352"	"0.238585836863544"	"0.242897132833325"	"0.111112397058289"	"0.152397339881089"	"0.149666830777738"	"0.153434006135914"
"EMX2OS"	"1.71780783562317"	"1.91925309579692"	"0.0935650615042342"	"0.069888723926313"	"2.69232642247975"	"1.8721436507307"	"0.550617667173215"	"0.973589965185726"	"3.24248030836263"	"2.68135753347269"	"0.174109509584391"	"0.390649189737003"	"0.661076142320887"	"0.941515298364951"	"0.090684321519512"	"0.0614029529046281"	"0.0722499134075386"	"0.0768931959646492"	"1.25621494160038"	"1.35620159169733"	"1.12555631664602"	"1.64207275331928"	"1.38276133829025"	"2.07710654386298"	"1.99849769125069"	"1.80487366572346"	"1.78822507346635"	"1.87243246056201"	"2.05770245824246"	"2.5984518334922"	"0.0462122892922034"	"0.161712929955054"	"0.712379195468967"	"1.0574146038324"	"0.1561112104509"	"0.66815988004676"	"0.118531287470462"	"0.292385438972381"	"1.03380733634474"	"0.843673191187563"	"0.35756241097027"	"0.667665085789951"	"1.81871069405179"	"1.63115601033317"	"0.0634769215293389"	"0.2528333769788"	"2.02690442114652"	"1.86642648480289"	"0.974448717948718"	"0.616741186632341"	"0.928894043531193"	"1.64258231805488"	"0.0538194683827111"	"0.141729818210911"	"0.0738416113843713"	"0.17553880108472"	"0.0553929436910663"	"0.0384531534547149"	"1.07861888590898"	"1.53936176920725"	"0.225277462296224"	"0.362217243022624"	"1.17829067051762"	"1.99649226057542"	"0.128895274206026"	"0.375676595790271"
"MEG3"	"0.00202609310606815"	"0.0149114102782301"	"0.00410565659832603"	"0.00983706197243934"	"0.00284463186626734"	"0.00666739733574797"	"0.00265441493141022"	"0.0145503965272409"	"0.00928109844550799"	"0.0406561017294982"	"0.00841423320121869"	"0.071247353834101"	"0.00262298294629584"	"0.0103808564338296"	"0.00449164781102639"	"0.00824617363274709"	"0.00226736267046079"	"0.00525927978993223"	"0.00240192298615826"	"0.0215793938837654"	"0.00204055917197051"	"0.0110761178693359"	"0.00124254026484523"	"0.00424990234335685"	"0.00390788699288647"	"0.0257434343584179"	"0.0276481038511158"	"0.0802400961412122"	"0.00183141018770626"	"0.00915764968139494"	"0.00103360334060384"	"0.00372147002827487"	"0.00189174261199725"	"0.00997699277487623"	"0.00339833724914832"	"0.0207499234256042"	"0.00100099291095491"	"0.00355087812501855"	"0.0179085560329192"	"0.0187869644407546"	"0.000944467226948791"	"0.00429202086961754"	"0.0203966323465913"	"0.0934634351480742"	"0.00099090822497086"	"0.00344764787079819"	"0.00124335932593588"	"0.00560193776821555"	"0.255170512820513"	"0.481916903453878"	"0.000994648927680992"	"0.00395343691875657"	"0.00256526569858157"	"0.00438199540513524"	"0.00254847919431494"	"0.0066495108806072"	"0.000696524824680581"	"0.0025759532685877"	"0.00045172583995125"	"0.00231771120956349"	"0.00370230647568104"	"0.0111762915294168"	"0.00152565575953179"	"0.00478050198820514"	"0.00109163674197133"	"0.00359883391629814"
"MALAT1"	"0.287825635182999"	"1.80060492026925"	"0.0605343571009069"	"0.112836630253066"	"2.532928552942"	"3.2980961467567"	"2.42441245718595"	"4.76544695175719"	"2.00644349055461"	"2.55650078975242"	"0.607957948297718"	"3.1248233175927"	"5.99607768635171"	"6.23317102363942"	"0.0293430923266441"	"0.0540983514746779"	"0.194004747661527"	"1.034777240809"	"8.62738385792203"	"7.29300997570097"	"0.111474039769399"	"0.339695475295088"	"0.625020405068579"	"1.68987635048939"	"4.53110723982204"	"4.14278479268075"	"3.30881658933183"	"3.94941278167999"	"6.06434769867129"	"5.86138399715696"	"2.11679366040837"	"3.87054243139132"	"3.24635311865309"	"5.2827652197038"	"1.18962838420979"	"2.92776674867263"	"0.219876939656243"	"1.11369142652497"	"0.111750715428407"	"0.966438557326223"	"1.39695565741995"	"2.48315512941443"	"6.16291162866123"	"5.56928820564914"	"0.0813531105080015"	"0.562928475230566"	"4.62994879835006"	"4.96379392024333"	"0.131311538461538"	"0.194031178393024"	"5.95041670606514"	"8.55790300673767"	"0.252859175110419"	"0.819419143990421"	"0.130103836151797"	"0.800563304588563"	"0.243777062503803"	"1.03515997471924"	"0.0151091070923175"	"0.0995484461033508"	"0.324700981633929"	"1.51521915612871"	"3.51280410380992"	"3.77876808185041"	"1.28217577837196"	"3.26588554035512"
